Pos	Channel	Cell	MothCell	BirthFr	DivFr	Lb	Lri	Lrt	Lc	Ld	Tri	Trt	Tc	Td	Tc-Trt	(Tc-Trt)/ Td
3	1	22	1	201	242	1.911	2.075	2.936	3.133	3.984	16	92	108	164	16	0.097560976
3	1	22	22	242	294	2.068	2.116	3.21	3.37	3.778	8	136	156	208	20	0.096153846
3	1	24	1	238	287	1.88	2.049	3.134	3.234	3.9	32	132	140	196	8	0.040816327
3	2	1	1	42	99	2.046	2.236	3.428	3.648	4.557	28	152	172	228	20	0.087719298
3	2	1	1	99	140	2.566	2.486	3.379	3.648	4.639	-12	76	100	164	24	0.146341463
3	2	1	1	140	184	2.577	2.562	3.392	3.568	4.606	-4	96	112	176	16	0.090909091
3	2	1	1	184	214	2.544	2.178	3.022	3.235	3.98	-40	52	72	120	20	0.166666667
3	2	1	1	214	255	2.232	2.284	3.172	3.347	3.886	8	112	124	164	12	0.073170732
3	2	2	2	43	91	1.7	1.792	2.666	2.99	3.883	12	108	136	192	28	0.145833333
3	2	9	1	42	83	1.777	1.927	2.803	2.883	3.623	24	112	116	164	4	0.024390244
3	2	9	9	83	127	1.761	1.971	2.842	3.034	3.966	32	112	124	176	12	0.068181818
3	2	16	1	99	129	1.991	1.897	2.727	3.12	3.553	-16	64	88	120	24	0.2
3	2	16	16	129	173	1.767	1.735	2.819	2.91	3.418	-4	116	124	176	8	0.045454545
3	2	19	1	140	186	2.062	2.212	3.179	3.673	4.447	20	116	148	184	32	0.173913043
3	2	19	19	186	213	2.301	2.057	2.894	3.068	3.901	-20	40	52	108	12	0.111111111
3	2	22	1	184	212	2.062	1.784	2.535	2.722	3.451	-36	44	60	112	16	0.142857143
3	2	22	22	212	282	1.703	1.957	2.979	3.188	4.241	36	168	200	280	32	0.114285714
3	2	25	22	212	249	1.749	1.896	2.8	2.862	3.781	16	96	100	148	4	0.027027027
